Implementation, Workload, Number_of_threads, Time[ms]
Lock-Free, Read-Heavy, 2, 473.9806259967736
Course-Grain-Lock, Read-Heavy, 2, 1268.020859002718
Fine-Grain-Lock, Read-Heavy, 2, 462.1571500028949
Lock-Free, Read-Heavy, 4, 372.779505996732
Course-Grain-Lock, Read-Heavy, 4, 1759.473944002821
Fine-Grain-Lock, Read-Heavy, 4, 339.7317010021652
Lock-Free, Read-Heavy, 8, 371.202923997771
Course-Grain-Lock, Read-Heavy, 8, 1757.97922500351
Fine-Grain-Lock, Read-Heavy, 8, 350.7185819980805
Lock-Free, Read-Heavy, 16, 367.356110997207
Course-Grain-Lock, Read-Heavy, 16, 1772.313189998385
Fine-Grain-Lock, Read-Heavy, 16, 353.1272020045435
Lock-Free, Read-Heavy, 32, 367.6536319981096
Course-Grain-Lock, Read-Heavy, 32, 1793.725846997404
Fine-Grain-Lock, Read-Heavy, 32, 346.193614997901
Lock-Free, Read-Heavy, 64, 364.3163350061513
Course-Grain-Lock, Read-Heavy, 64, 1761.281058999884
Fine-Grain-Lock, Read-Heavy, 64, 355.2188090034178
Lock-Free, Read-Heavy, 128, 372.6776069961488
Course-Grain-Lock, Read-Heavy, 128, 1775.055235004402
Fine-Grain-Lock, Read-Heavy, 128, 350.9842709972872
Lock-Free, Read-Heavy, 256, 371.2994380039163
Course-Grain-Lock, Read-Heavy, 256, 1787.876690999838
Fine-Grain-Lock, Read-Heavy, 256, 349.1640089996508
